"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","11,845,767","100"
"2","youtube.com","17,260,350","100"
"3","apple.com","4,463,944","100"
"4","linkedin.com","8,554,924","99"
"5","microsoft.com","4,095,268","99"
"6","www.blogger.com","24,765,775","99"
"7","support.google.com","4,435,220","99"
"8","play.google.com","2,286,075","99"
"9","cloudflare.com","4,877,264","98"
"10","plus.google.com","12,583,644","98"
"11","en.wikipedia.org","5,422,844","98"
"12","maps.google.com","4,463,222","98"
"13","wordpress.org","9,474,969","98"
"14","docs.google.com","2,173,764","98"
"15","adobe.com","2,930,411","98"
"16","accounts.google.com","2,526,727","97"
"17","drive.google.com","1,667,528","97"
"18","mozilla.org","1,898,406","97"
"19","youtu.be","3,686,093","97"
"20","vimeo.com","3,089,845","97"
"21","googleusercontent.com","2,142,588","97"
"22","europa.eu","1,650,581","97"
"23","sites.google.com","1,634,702","97"
"24","medium.com","1,073,161","96"
"25","vk.com","1,595,866","96"
"26","creativecommons.org","1,528,499","96"
"27","istockphoto.com","3,047,482","96"
"28","facebook.com","44,939,797","96"
"29","bbc.co.uk","1,412,687","96"
"30","line.me","545,874","96"
"31","bp.blogspot.com","15,770,378","96"
"32","es.wikipedia.org","769,688","96"
"33","amazon.com","3,978,889","96"
"34","github.com","1,924,739","96"
"35","fr.wikipedia.org","523,427","95"
"36","uol.com.br","556,223","95"
"37","t.me","454,213","95"
"38","pt.wikipedia.org","357,213","95"
"39","www.yahoo.com","921,092","95"
"40","nytimes.com","1,668,512","95"
"41","photos.google.com","229,578","95"
"42","gstatic.com","580,183","95"
"43","theguardian.com","1,182,653","95"
"44","google.fr","385,391","95"
"45","slideshare.net","865,752","95"
"46","wikimedia.org","1,358,034","95"
"47","whatsapp.com","1,465,151","95"
"48","feedburner.com","1,750,411","95"
"49","google.co.jp","632,540","95"
"50","washingtonpost.com","859,104","95"
"51","imdb.com","1,237,317","95"
"52","cnn.com","1,207,790","95"
"53","google.es","410,464","95"
"54","google.de","1,094,344","95"
"55","developers.google.com","870,713","95"
"56","bbc.com","640,507","95"
"57","dailymotion.com","1,072,330","95"
"58","jimdofree.com","1,643,100","95"
"59","reuters.com","721,260","95"
"60","mail.ru","476,654","95"
"61","myspace.com","1,282,439","95"
"62","networkadvertising.org","714,865","95"
"63","live.com","734,039","95"
"64","hugedomains.com","5,200,064","95"
"65","google.co.uk","548,126","95"
"66","mail.google.com","425,849","95"
"67","w3.org","1,062,740","95"
"68","forbes.com","911,960","95"
"69","globo.com","381,686","95"
"70","news.google.com","681,573","95"
"71","news.yahoo.com","570,623","95"
"72","google.com.br","266,715","95"
"73","dropbox.com","920,823","95"
"74","paypal.com","875,174","95"
"75","policies.google.com","1,030,383","95"
"76","msn.com","995,604","95"
"77","nih.gov","1,016,758","95"
"78","aboutads.info","493,686","94"
"79","nasa.gov","539,199","94"
"80","who.int","778,313","94"
"81","opera.com","731,725","94"
"82","time.com","614,814","94"
"83","harvard.edu","566,595","94"
"84","bing.com","874,072","94"
"85","office.com","323,629","94"
"86","latimes.com","575,458","94"
"87","code.google.com","325,371","94"
"88","steampowered.com","209,697","94"
"89","oracle.com","508,518","94"
"90","addthis.com","713,260","94"
"91","bit.ly","3,875,349","94"
"92","un.org","405,773","94"
"93","elpais.com","319,326","94"
"94","change.org","369,576","94"
"95","fandom.com","425,749","94"
"96","google.it","409,446","94"
"97","cdc.gov","546,385","94"
"98","huffingtonpost.com","896,283","94"
"99","rt.com","229,703","94"
"100","dailymail.co.uk","779,983","94"
"101","gravatar.com","1,680,898","94"
"102","ebay.com","884,882","94"
"103","ft.com","343,491","94"
"104","cpanel.com","1,118,090","94"
"105","wikia.com","471,738","94"
"106","marketingplatform.google.com","736,622","94"
"107","www.wix.com","886,945","94"
"108","amazon.co.jp","763,530","94"
"109","techcrunch.com","387,011","94"
"110","translate.google.com","273,901","94"
"111","mirror.co.uk","256,495","94"
"112","privacyshield.gov","421,200","94"
"113","samsung.com","302,678","94"
"114","independent.co.uk","515,670","94"
"115","twitter.com","48,087,177","94"
"116","books.google.com","344,148","94"
"117","wsj.com","802,460","94"
"118","plesk.com","673,521","94"
"119","abril.com.br","226,622","94"
"120","files.wordpress.com","1,977,749","94"
"121","cpanel.net","1,201,840","94"
"122","mediafire.com","762,588","94"
"123","youronlinechoices.com","526,807","94"
"124","ipv4.google.com","357,642","94"
"125","www.gov.uk","458,966","94"
"126","thesun.co.uk","250,888","94"
"127","myaccount.google.com","252,800","94"
"128","draft.blogger.com","5,637,973","94"
"129","archive.org","860,345","94"
"130","nypost.com","272,657","94"
"131","goo.gl","4,177,394","94"
"132","picasaweb.google.com","624,414","94"
"133","rakuten.co.jp","580,253","94"
"134","indiatimes.com","327,534","94"
"135","telegraph.co.uk","778,447","94"
"136","pinterest.com","6,999,220","94"
"137","terra.com.br","187,523","94"
"138","get.google.com","522,990","94"
"139","booking.com","354,544","94"
"140","aol.com","647,391","94"
"141","search.google.com","952,153","94"
"142","fb.com","334,219","94"
"143","bloomberg.com","652,291","94"
"144","ok.ru","324,653","94"
"145","amazon.de","490,044","94"
"146","wired.com","535,486","94"
"147","tools.google.com","1,464,247","94"
"148","aliexpress.com","489,219","94"
"149","buydomains.com","1,177,331","94"
"150","scribd.com","628,911","94"
"151","usatoday.com","630,950","94"
"152","tinyurl.com","1,213,897","94"
"153","soundcloud.com","1,534,434","94"
"154","themeforest.net","497,758","94"
"155","telegram.me","259,160","94"
"156","de.wikipedia.org","590,620","94"
"157","google.ru","174,765","94"
"158","lefigaro.fr","174,462","94"
"159","foxnews.com","448,975","94"
"160","cnet.com","546,165","94"
"161","android.com","268,544","94"
"162","amazon.co.uk","629,516","94"
"163","issuu.com","820,217","94"
"164","ig.com.br","133,438","94"
"165","rapidshare.com","284,112","93"
"166","ucoz.ru","188,150","93"
"167","alibaba.com","374,656","93"
"168","columbia.edu","274,214","93"
"169","businessinsider.com","559,841","93"
"170","pl.wikipedia.org","126,534","93"
"171","naver.com","400,587","93"
"172","4shared.com","507,846","93"
"173","welt.de","157,680","93"
"174","doubleclick.net","662,452","93"
"175","google.co.id","132,435","93"
"176","disney.com","195,612","93"
"177","mega.nz","144,683","93"
"178","eventbrite.com","554,335","93"
"179","wikihow.com","342,551","93"
"180","stanford.edu","503,731","93"
"181","rambler.ru","238,114","93"
"182","shopify.com","1,085,081","93"
"183","usnews.com","321,519","93"
"184","blackberry.com","136,321","93"
"185","twitch.tv","273,509","93"
"186","espn.com","286,328","93"
"187","amazon.es","138,165","93"
"188","picasa.google.com","247,523","93"
"189","vox.com","439,357","93"
"190","sciencemag.org","252,788","93"
"191","orkut.com.br","120,572","93"
"192","pbs.org","416,365","93"
"193","academia.edu","280,690","93"
"194","noaa.gov","280,033","93"
"195","google.nl","217,232","93"
"196","netflix.com","228,181","93"
"197","kickstarter.com","412,356","93"
"198","foursquare.com","238,571","93"
"199","surveymonkey.com","377,132","93"
"200","mozilla.com","197,343","93"
"201","ox.ac.uk","211,833","93"
"202","t.co","1,675,044","93"
"203","mit.edu","552,974","93"
"204","storage.googleapis.com","418,118","93"
"205","my.yahoo.com","1,129,052","93"
"206","gmail.com","180,325","93"
"207","sciencedirect.com","400,090","93"
"208","bp2.blogger.com","521,543","93"
"209","npr.org","582,758","93"
"210","engadget.com","400,148","93"
"211","lemonde.fr","218,357","93"
"212","thetimes.co.uk","294,911","93"
"213","google.co.in","246,675","93"
"214","wa.me","291,306","93"
"215","php.net","601,765","93"
"216","loc.gov","356,445","93"
"217","iubenda.com","174,771","93"
"218","digg.com","823,384","93"
"219","nginx.com","363,181","93"
"220","imageshack.us","795,943","93"
"221","cbc.ca","345,491","93"
"222","spotify.com","1,040,570","93"
"223","huffpost.com","409,389","93"
"224","finance.yahoo.com","363,944","93"
"225","disqus.com","925,970","93"
"226","urbandictionary.com","207,558","93"
"227","bt.com","161,179","93"
"228","news.com.au","251,060","93"
"229","xbox.com","143,131","93"
"230","dell.com","211,084","93"
"231","icann.org","359,211","93"
"232","smh.com.au","261,057","93"
"233","hatena.ne.jp","1,469,121","93"
"234","sedo.com","1,904,385","93"
"235","a8.net","412,761","93"
"236","windowsphone.com","124,178","93"
"237","abcnews.go.com","467,376","93"
"238","sciencedaily.com","281,989","93"
"239","marriott.com","333,266","93"
"240","express.co.uk","197,241","93"
"241","ja.wikipedia.org","324,631","93"
"242","elmundo.es","190,430","93"
"243","it.wikipedia.org","281,265","93"
"244","tes.com","395,706","93"
"245","bloglovin.com","439,233","93"
"246","asus.com","138,815","93"
"247","dan.com","1,174,780","93"
"248","e-recht24.de","442,851","93"
"249","bp1.blogger.com","521,452","93"
"250","berkeley.edu","384,150","93"
"251","weibo.com","1,501,212","93"
"252","yahoo.co.jp","616,009","93"
"253","www.weebly.com","315,790","93"
"254","worldbank.org","199,920","93"
"255","britannica.com","257,687","93"
"256","cisco.com","204,572","93"
"257","goodreads.com","637,330","93"
"258","xinhuanet.com","653,311","93"
"259","gizmodo.com","343,875","93"
"260","umich.edu","291,913","93"
"261","mashable.com","349,262","93"
